Period,Type,Dec 04,Mar 05,Jun 05,Sep 05,Dec 05,Mar 06,Jun 06,Sep 06,Dec 06,Mar 07,Jun 07,Sep 07,Dec 07,Mar 08,Jun 08,Sep 08,Dec 08,Mar 09,Jun 09,Sep 09,Dec 09,Mar 10,Jun 10,Sep 10,Dec 10,Mar 11,Jun 11,Sep 11,Dec 11,Mar 12,Jun 12,Sep 12,Dec 12,Mar 13,Jun 13,Sep 13,Dec 13,Mar 14,Jun 14,Sep 14,Dec 14,Mar 15,Jun 15,Sep 15,Dec 15,Mar 16,Jun 16,Sep 16,Dec 16,Mar 17,Jun 17,Sep 17,Dec 17,Mar 18,Jun 18,Sep 18,Dec 18,Mar 19,Jun 19,Sep 19,Dec 19,Mar 20,Jun 20,Sep 20,Dec 20,Mar 21,Jun 21,Sep 21,Dec 21,Mar 22,Jun 22,Sep 22,Dec 22,Mar 23,Jun 23,Sep 23,Dec 23,Mar 24
Quarterly,Food,0.6,-0.4,1.1,-0.9,0.9,0.1,1.6,-0.3,1.3,1.0,2.0,-0.9,3.6,1.9,2.3,0.9,0.4,0.6,1.1,0.1,0.8,1.5,0.7,0.1,0.5,0.1,0.6,1.2,1.0,1.0,0.0,0.2,1.4,1.2,0.6,0.2,0.8,-0.3,0.3,-0.2,0.3,-0.4,-0.2,-1.0,0.2,-1.8,2.3,-0.8,-2.2,1.1,1.2,-0.2,0.8,0.6,-0.1,1.3,-2.2,0.9,1.2,0.5,-0.7,3.0,-0.2,-0.4,-0.1,0.6,0.5,0.7,1.3,1.5,3.4,3.0,2.9,2.9,2.2,1.3,0.4,0.0
Quarterly,Catering,0.3,1.1,0.0,2.5,3.0,0.1,0.2,0.2,-0.4,1.4,5.2,-3.2,-0.3,6.4,2.9,1.1,0.3,3.0,0.6,-0.5,0.2,0.8,0.8,1.3,0.1,1.4,1.0,1.7,0.2,0.2,1.3,-0.1,0.1,0.6,1.1,0.2,-0.1,2.0,0.1,0.2,-0.1,1.3,0.8,0.2,0.9,0.8,0.2,0.7,0.3,0.6,0.8,0.2,0.7,-0.1,0.4,0.9,0.7,1.5,0.1,1.1,-0.1,0.7,2.1,0.0,1.0,0.8,2.1,0.4,1.2,0.5,2.3,2.7,3.1,0.2,1.5,1.4,0.2,1.3
Quarterly,Alcoholic Drink,-0.9,5.4,0.1,0.0,-0.4,4.0,-0.3,0.0,-0.1,6.7,0.0,1.1,0.5,6.2,3.0,0.4,0.2,3.4,1.3,1.2,-1.1,1.7,1.3,0.1,-2.1,2.9,1.9,1.2,-0.8,3.1,0.3,0.5,-0.7,2.1,0.5,1.2,-0.6,2.5,0.0,1.0,-1.6,4.6,-0.7,-1.3,-2.3,5.8,-1.2,1.1,-2.0,4.4,1.0,0.6,-4.0,3.8,2.3,0.1,-1.1,3.1,0.3,0.6,0.9,2.7,0.8,0.8,-0.3,2.6,0.3,0.8,-0.4,0.9,0.0,1.9,0.8,3.5,1.7,0.5,0.9,3.1
Quarterly,Tobacco,-0.1,5.8,1.0,0.0,0.0,3.1,0.7,0.0,0.1,3.9,1.6,-2.6,3.8,3.3,-0.1,0.2,2.3,2.5,0.9,0.6,8.0,-0.1,0.5,0.0,1.6,0.6,1.2,-1.0,0.7,6.3,0.0,0.3,0.7,3.6,-1.5,0.4,4.0,0.1,0.0,0.4,4.1,0.9,0.7,-1.6,5.4,0.1,0.2,0.0,3.4,0.0,0.0,0.0,5.1,0.0,1.0,0.3,5.2,0.1,0.7,0.0,2.6,1.9,0.6,0.0,0.1,1.0,0.0,0.5,0.6,3.8,1.3,0.3,0.2,6.7,0.0,0.0,0.0,6.4
Quarterly,Housing,0.9,2.8,1.4,-0.4,1.4,1.9,2.2,2.7,3.3,2.9,1.9,2.3,0.8,0.0,0.0,1.7,-11.0,-4.4,1.7,3.1,-0.2,-0.8,-0.3,0.6,1.5,1.5,1.9,1.0,1.0,1.7,0.1,0.9,0.8,1.2,1.3,0.4,1.8,2.4,1.0,1.1,0.5,0.9,0.1,0.0,0.2,0.5,0.1,0.1,-0.4,0.2,0.1,1.2,0.2,0.6,0.6,0.6,0.1,0.3,1.6,0.2,0.8,-1.1,-0.4,0.0,0.4,2.3,0.2,1.1,0.1,2.9,1.5,1.0,1.5,5.1,2.0,2.4,1.9,4.2
Quarterly,Fuel and Light,4.3,3.8,1.3,4.3,-0.6,4.8,1.0,-1.9,2.3,-1.9,4.9,1.1,3.2,7.0,6.3,-2.6,-11.9,2.3,9.4,0.2,2.5,5.1,5.0,-1.8,6.0,5.5,-0.1,1.1,2.0,2.4,-2.3,2.9,4.1,1.9,-1.7,1.9,-1.3,-0.5,0.0,-0.8,-5.4,-2.4,0.6,-3.9,-2.6,-1.1,1.6,0.5,4.2,1.6,-1.7,-0.2,0.7,3.3,4.6,-0.6,-0.7,0.5,1.1,2.9,0.4,-1.7,-4.1,1.5,-0.6,2.1,1.3,2.0,5.2,5.8,8.5,4.5,1.0,-4.2,-3.2,8.7,1.4,0.9
Quarterly,Household Goods,0.4,1.4,-0.3,0.9,-0.7,2.2,-1.0,0.1,-1.4,2.8,-1.8,2.4,-0.2,3.1,1.1,0.7,-0.4,0.8,0.1,0.8,0.1,1.6,-1.0,0.3,-0.3,1.5,0.4,1.1,-0.4,3.3,-2.8,0.5,0.8,0.8,-0.1,2.4,-0.2,1.2,-0.5,0.0,-1.8,0.6,-0.8,1.4,-1.3,-0.9,0.9,-0.7,0.6,2.5,-0.4,-1.3,1.0,1.1,0.6,-1.1,0.6,1.3,0.2,-0.5,0.0,0.7,1.7,-1.3,0.5,1.5,0.3,1.8,0.9,2.5,3.8,1.2,1.9,1.6,-0.1,0.6,-1.0,0.9
Quarterly,Household Services,0.1,1.9,0.5,0.1,0.2,0.2,2.7,0.5,0.0,1.0,2.0,0.4,0.6,1.1,2.0,1.3,5.7,0.1,0.4,1.6,-4.7,0.4,0.1,-0.6,-2.3,-1.0,-0.7,0.5,0.0,0.5,1.3,-0.4,0.0,0.2,-0.3,0.5,0.0,4.7,1.1,0.2,0.2,0.4,0.5,1.0,-0.4,0.9,0.6,1.8,-0.3,0.7,1.1,0.9,0.2,0.4,0.4,0.5,0.5,0.4,0.3,0.9,0.1,0.4,1.7,0.7,0.0,0.1,0.5,1.7,0.4,1.5,0.4,1.3,1.5,2.1,2.5,1.7,1.0,1.2
Quarterly,Clothing and Footwear,1.6,2.5,-2.0,-1.0,-6.9,1.8,-0.3,0.5,-6.5,3.8,-1.7,0.7,0.7,-6.1,1.5,1.6,-1.7,-0.6,0.7,-0.8,-5.0,1.3,-1.2,3.0,-1.8,2.8,-0.2,2.6,-3.2,-0.5,-1.3,1.8,-1.3,0.0,-1.3,2.7,-1.9,-1.4,-4.1,2.7,0.1,-0.5,-0.5,3.7,-0.8,-0.3,-4.3,2.7,-0.6,0.3,-3.8,-0.5,-0.3,4.2,-3.0,0.0,-0.3,-0.3,-0.4,-1.1,0.4,-1.2,-0.8,-1.2,0.2,0.1,-0.5,2.3,0.6,0.5,-0.6,2.5,0.1,2.0,1.5,-0.1,0.3,-0.3
Quarterly,Personal Goods and Services,0.1,0.5,1.5,0.1,1.0,0.7,1.1,-0.2,0.7,3.0,2.8,-0.7,1.1,1.7,2.4,0.4,0.7,1.9,1.2,0.4,0.3,0.9,3.8,0.1,0.4,1.0,1.5,0.3,0.9,2.1,1.6,0.1,0.3,0.8,0.6,1.6,0.6,0.8,1.6,0.2,0.1,1.6,0.0,-0.4,-0.1,1.9,1.1,-0.3,-0.1,3.0,0.6,0.1,1.0,1.5,1.7,0.0,0.3,-0.3,-0.1,1.2,-0.8,0.4,0.9,-0.1,-0.1,0.4,0.2,0.8,0.1,2.0,0.5,0.2,1.8,3.0,1.0,1.2,0.1,3.0
